"Montant des amendes impayées par bibliothèque
 du 27 juin 2007 au 20 novembre 2014",,"Montant des amendes payées par bibliothèque au 2014-11-19",,
,,,,
"Bibliothèque","Montant",2012,2013,2014
"Bibliothèque d'Ahuntsic","39348,22","46881,16","43360,24","37617,81"
"Bibliothèque de Cartierville","20626,28","16255,99","14349,39","11648,39"
"Bibliothèque De Salaberry","2897,92","4745,05","5532,53","4274,63"
"Bibliothèque Saul-Bellow","8508,12","17027,47","12923,14","11714,71"
"Bibliothèque de Saint-Pierre","4536,5","2336,49","2747,25","2551,10"
"Bibliothèque Benny","13425,15","16752,25","14563,38","12029,09"
"Bibliothèque de Côte-des-Neiges","17087,18","29692,21","24858,82","21620,76"
"Bibliothèque interculturelle","22729,05","17463,45","16071,15","11398,25"
"Bibliothèque de Notre-Dame-de-Grâce","11550,86","16874,51","15311,11","11737,53"
"Bibliothèque Père-Ambroise","8198,19","8506,75","8121,75","6983,80"
"Bibliothèque Frontenac","10832,12","18197,09","16212,36","14143,24"
"Bibliothèque Georges-Vanier","7461,2","7529,00","6596,95","6557,53"
"Bibliothèque Marie-Uguay ","15876,77","10156,85","9093,89","8885,80"
"Bibliothèque de Saint-Henri","9744,07","9816,97","9034,65","8049,49"
"Bibliothèque de Saint-Charles","10914,98","9599,59","8318,05","6826,90"
"Bibliothèque d'Hochelaga","2191,03","5187,17","4949,57","4740,08"
"Bibliothèque Langelier","19981,17","22344,87","22665,23","19370,70"
"Bibliothèque Mercier ","28550,60","18849,57","18137,49","15380,84"
"Bibliothèque Maisonneuve","34936,09","19232,04","19277,31","17785,85"
"Bibliothèque de L’Île-Bizard","4651,23","7380,85","5656,79","5115,95"
"Bibliothèque Jean-Corbeil","16877,32","18570,84","18147,90","16140,82"
"Bibliothèque du Haut-Anjou","3861,64","3535,44","3652,70","3228,20"
"Bibliothèque L’Octogone","24889,68","56867,37","56233,81","50433,69"
"Bibliothèque Henri-Bourassa","10022,18","17995,44","15664,87","14118,75"
"Bibliothèque de Belleville","8069,88","5078,46","5010,23","4481,00"
"Bibliothèque de Charleroi","6596,73","5498,14","6320,76","6344,80"
"Bibliothèque de la Maison culturelle et communautaire","11752,11","13070,28","13163,62","11682,73"
"Bibliothèque de Saint-Léonard","20002,44","28147,34","28789,47","26937,52"
"Bibliothèque Robert-Bourassa","9974,60","15873,03","14827,59","12104,55"
"Bibliothèque de Pierrefonds","13880,24","34057,66","30147,90","25834,55"
"Bibliothèque de Roxboro","7737,58","5481,85","3130,10","3907,30"
"Bibliothèque de La Petite-Patrie","15056,46","20398,41","20570,91","16068,11"
"Bibliothèque de Rosemont","39420,49","30915,82","29294,46","24222,53"
"Bibliothèque Marc-Favreau","15197,06","0,00","1423,65","33737,92"
"Bibliothèque du Vieux-Saint-Laurent","18590,83","38746,32","31755,68","19358,56"
"Bibliothèque du Boisé","19731,79","0,00","17008,97","34135,52"
"Bibliothèque de Pointe-aux-Trembles","24200,74","18776,56","17327,85","14425,98"
"Bibliothèque de Rivière-des-Prairies","28756,39","15612,13","15616,45","14099,19"
"Bibliothèque de Verdun","15538,42","22380,19","20804,08","18374,34"
"Bibliothèque de L'Île-des-Sœurs","3617,74","8395,02","9257,99","8203,40"
"Bibliothèque Le Prévost","22162,66","37351,52","34335,08","26005,89"
"Bibliothèque de Parc-Extension","19354,73","17383,43","16791,92","14351,53"
"Bibliothèque de Saint-Michel","27404,07","19731,04","19073,60","16864,22"
"Bibliothèque du Mile End","11084,79","15873,03","14827,59","12104,55"
"Bibliothèque du Plateau-Mont-Royal","27180,50","23584,37","20306,28","16492,04"
"Total","715007,80","780165,02","743277,51","684104,14"
